Name,UserName,Team,Arate,Hrate,HighestPerf
ぱらぼろ,r3yohei,運営,703,1373,1583
troche,TGSR,バベル・アルトマン,1309,1358,1852
keroru,keroru,チーム1,1607,1507,1765
えどもんど,edomondo,運営,920,1352,1679
てば,tebanya,チーム1,1227,283,870
こま(@comavius),Comavius,648feb86,1313,1660,2395
fujikawahiroaki,fujikawahiroaki,バベル・アルトマン,598,1384,1712
brthyyjp,brthyyjp,チーム1,1702,1357,1640
komori3,komori3,バベル・アルトマン,1847,2412,2853
udon1206,udon1206,648feb86,2106,2054,2292
motoshira,motoshira,チーム1,1528,1383,1794
tabae,tabae326,648feb86,1929,1868,2142
ねふ,nephrologist,バベル・,1591,1433,1795
hiro1729,hiroyuk1,未定,1206,1126,1599